,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,9961.0,19800.0,2749.0,17132.0,11869.0,9475.0,10029.0,27823.0,30072.0,6841.0,23137.0,8778.0,3746.0,10556.0,22076.0,6789.0,3872.0,15285.0,16670.0,23543.0,23993.0,29518.0,9332.0,24841.0
1,11358.0,,20111.0,10143.0,23537.0,4234.0,9786.0,68.0,35634.0,37883.0,12042.0,30948.0,9352.0,12339.0,10867.0,30802.0,9115.0,12965.0,21690.0,26670.0,23853.0,31804.0,37330.0,17294.0,25152.0
2,15106.0,19434.0,,14081.0,24401.0,19189.0,11505.0,19502.0,25531.0,25449.0,18832.0,26163.0,11099.0,11582.0,8687.0,14889.0,12638.0,11727.0,22553.0,23938.0,7886.0,27554.0,24895.0,7941.0,8516.0
3,2783.0,10840.0,18526.0,,21470.0,10595.0,8201.0,10909.0,32443.0,34692.0,11131.0,27757.0,7504.0,2128.0,9282.0,26696.0,3402.0,3823.0,18499.0,20379.0,22269.0,28613.0,34139.0,8093.0,23567.0
4,20460.0,25827.0,26022.0,22701.0,,29747.0,27354.0,25895.0,17988.0,17611.0,15414.0,14356.0,26656.0,19837.0,28434.0,18931.0,24672.0,21360.0,2185.0,1607.0,23942.0,11652.0,17687.0,17215.0,23795.0
5,11536.0,4131.0,20288.0,10321.0,27559.0,,9964.0,4200.0,39656.0,41905.0,16064.0,34970.0,6790.0,12517.0,11045.0,30980.0,9293.0,13143.0,25712.0,26848.0,24031.0,35826.0,41352.0,17472.0,25330.0
6,9185.0,9066.0,12971.0,4400.0,24304.0,8820.0,,9134.0,34303.0,34222.0,15248.0,31989.0,2846.0,3896.0,3849.0,23662.0,1399.0,6137.0,22456.0,23841.0,16714.0,32845.0,33668.0,10154.0,18012.0
7,11426.0,68.0,20179.0,10211.0,23605.0,4302.0,9854.0,,35702.0,37951.0,12111.0,31016.0,9420.0,12407.0,10935.0,30870.0,9184.0,13034.0,21758.0,26738.0,23922.0,31873.0,37398.0,17362.0,25220.0
8,28465.0,37714.0,27622.0,34538.0,18007.0,41187.0,33622.0,37782.0,,2713.0,29388.0,9803.0,35314.0,32402.0,34377.0,13276.0,34756.0,30716.0,19729.0,19959.0,20179.0,7011.0,1119.0,27893.0,20032.0
9,28335.0,37584.0,27492.0,34408.0,18832.0,41057.0,33492.0,37652.0,2728.0,,29258.0,9672.0,35184.0,32272.0,34247.0,13146.0,34626.0,30585.0,20553.0,20783.0,20049.0,10717.0,2093.0,27763.0,19902.0
10,7036.0,11773.0,19242.0,10976.0,13291.0,15246.0,15629.0,11841.0,26927.0,29177.0,,22241.0,14932.0,13058.0,16710.0,21180.0,12948.0,7935.0,12276.0,12200.0,23212.0,23098.0,28623.0,13047.0,24510.0
11,21142.0,30391.0,31263.0,27215.0,14682.0,33864.0,30718.0,30459.0,7379.0,9629.0,22065.0,,31170.0,25079.0,31473.0,7339.0,29186.0,23393.0,16403.0,16633.0,20662.0,3583.0,9075.0,20884.0,20515.0
12,9497.0,9377.0,13545.0,5693.0,24878.0,7039.0,2458.0,9445.0,34878.0,34796.0,15560.0,32186.0,,5772.0,2931.0,24237.0,2585.0,12204.0,23031.0,24808.0,17288.0,33043.0,34243.0,10728.0,18587.0
13,4133.0,10343.0,11785.0,2304.0,18403.0,10965.0,4081.0,10411.0,30774.0,33023.0,14151.0,26087.0,5675.0,,5876.0,22620.0,3518.0,2960.0,16555.0,17940.0,15671.0,26944.0,32469.0,6427.0,16970.0
14,11550.0,11431.0,9504.0,8593.0,25133.0,9992.0,3509.0,11499.0,35132.0,35051.0,17614.0,32817.0,3413.0,6062.0,,24491.0,4609.0,12459.0,23285.0,24670.0,17543.0,33674.0,34497.0,10983.0,18841.0
15,18954.0,31203.0,17274.0,25027.0,17036.0,30958.0,23273.0,31271.0,13336.0,13255.0,19878.0,7346.0,24966.0,23699.0,24028.0,,24407.0,23022.0,18757.0,18987.0,9830.0,15013.0,12701.0,17544.0,9683.0
16,7163.0,9881.0,13786.0,3477.0,23565.0,8045.0,2008.0,9949.0,35119.0,35037.0,13226.0,29852.0,2989.0,3850.0,4664.0,24478.0,,6090.0,20594.0,22475.0,17529.0,30709.0,34483.0,10969.0,18827.0
17,3398.0,14119.0,11930.0,4291.0,16933.0,13873.0,5904.0,14187.0,29304.0,31554.0,11365.0,24618.0,10782.0,3138.0,12140.0,22848.0,6349.0,,15086.0,16471.0,15899.0,25475.0,31000.0,5722.0,17198.0
18,18132.0,23498.0,22707.0,20373.0,2744.0,27419.0,25026.0,23567.0,20226.0,19850.0,13086.0,16594.0,24328.0,16523.0,26106.0,23123.0,22344.0,19032.0,,2282.0,28133.0,13890.0,19925.0,16512.0,27987.0
19,18544.0,23911.0,29051.0,20785.0,1373.0,27831.0,25438.0,23979.0,20382.0,20005.0,13498.0,16750.0,24740.0,22292.0,26518.0,23279.0,22756.0,19444.0,2474.0,,28289.0,14046.0,20081.0,22855.0,28142.0
20,18853.0,23655.0,9726.0,17828.0,26330.0,23410.0,15726.0,23723.0,20414.0,20332.0,22579.0,21046.0,17418.0,16151.0,16481.0,9773.0,16860.0,15474.0,26300.0,27685.0,,22437.0,19778.0,9997.0,1409.0
21,20832.0,30081.0,30953.0,26905.0,11990.0,33554.0,30408.0,30149.0,6980.0,7177.0,21755.0,3181.0,30860.0,24769.0,31163.0,14415.0,28876.0,23083.0,13712.0,13942.0,20352.0,,9538.0,20574.0,20205.0
22,25708.0,34957.0,26987.0,31781.0,17676.0,38430.0,32987.0,35025.0,1096.0,2381.0,26631.0,7046.0,34679.0,29645.0,33742.0,12641.0,34121.0,27959.0,19397.0,19627.0,19544.0,7093.0,,27258.0,19397.0
